Lane,Sample,Index
1-4,SAMP1,SI-GA-A1
1-4,SAMP2,SI-GA-A2
1-4,SAMP3,SI-GA-A3
1-4,SAMP1_CITEseq,SI-NA-A1
1-4,SAMP2_CITEseq,SI-NA-A2
1-4,SAMP3_CITEseq,SI-NA-A3

